Gaze_TimeStamp,Gaze_X,Gaze_Y
38.0660018920898,14.3963143280999,289.368459247907
38.0859985351562,13.9154013384848,287.135109039753
38.1059989929199,13.9676310314578,284.298090170943
38.1259994506836,13.4982229457501,284.238133753437
38.1459999084473,13.4573132853458,283.453065047611
38.1660003662109,13.9232986707914,285.67792543365
38.1860008239746,13.1019632264516,284.994893593601
38.2060012817383,13.3017039300973,284.67176123546
38.226001739502,12.7040270635731,284.369972184837
38.2459983825684,12.6331464384941,285.348443316734
38.265998840332,11.8684359191915,283.407233341938
38.2859992980957,25.9086773392061,272.525170934108
38.3059997558594,82.8885727714421,254.199782246366
38.3279991149902,85.610494806561,251.843613302932
38.3479995727539,80.7637848187059,249.261202825396
38.3680000305176,75.9355554894219,248.638425727067
38.3880004882812,71.3128438997266,247.433924804983
38.4080009460449,66.7279552100324,243.970855383173
38.4280014038086,61.0777531460077,244.692837085091
38.4480018615723,54.1914426364891,244.976224756769
38.4679985046387,47.1301417350667,245.396405186985
38.4879989624023,41.7224947303771,248.955664181037
38.507999420166,37.3024196625632,250.948115127535
38.5279998779297,32.5945060124903,251.365126434799
38.5480003356934,29.731811549987,252.725781684568
38.568000793457,27.2333566733779,248.762783586019
38.5880012512207,27.2436606603236,243.501469873687
38.6080017089844,26.2028763266798,239.655522505721
38.6279983520508,26.3424408870846,240.536399319467
38.6479988098145,26.8685993876065,240.212888802339
38.6679992675781,26.0319432809441,240.476223155565
38.6879997253418,25.6202913944039,240.749498102217
38.7080001831055,24.7740819137096,242.000820158017
38.7280006408691,25.4388527484294,244.847694110614
38.7480010986328,24.2422200362854,245.054921585761
38.7680015563965,22.7403652872476,246.759856730657
38.7879981994629,22.365605549361,243.791301760416
38.8079986572266,22.0903021637568,246.605899626345
38.8279991149902,20.8337174575322,245.32570710137
38.8479995727539,19.5902623222963,241.527563088593
38.8680000305176,20.4380650228835,243.579435147783
38.8880004882812,18.8557975529548,239.348468365807
38.9080009460449,18.977657009989,237.187195167602
38.9280014038086,17.3051857246463,239.365811649192
38.9480018615723,17.5409600830151,238.517470498986
